,OSM,GeoDanmark
Count of matched edges,2585.0,4313.0
Percent matched edges,45.598871053095785,91.66843783209352
Length of matched edges (km),422.1541792710598,601.0974836260094
Percent of matched network length,52.01940377697433,95.94904477170644
Local min of % matched edges,3.4482758620689653,7.4074074074074066
Local max of % matched edges,100.0,100.0
Local average of % matched edges,72.23056478398283,96.48719705659668
