metric,value
meters of bicycle infrastructure per square km,3453.85
nodes in the bicycle network per square km,22.74
dangling nodes in the bicycle network per square km,4.8
meters of protected bicycle infrastructure per square km,2998.8
meters of unprotected bicycle infrastructure per square km,455.05
meters of mixed protection bicycle infrastructure per square km,0.0
