edge_id
4859
1801
2269
1067
1954
4247
5550
1743
3052
5160
4032
986
4041
2331
110
3110
3386
2167
1117
2757
993
3753
354
4066
106
4788
422
2116
5358
5109
3218
3161
1642
3692
4146
1196
4073
5203
2684
3209
2115
740
4810
2005
4192
2141
2533
989
1329
1464
4040
3561
1333
728
5535
4467
2117
5158
747
1150
310
5031
4594
2917
570
281
505
3112
3189
4739
3797
1739
3132
3395
3560
4349
1052
789
352
1519
1151
61
4740
3517
4619
5614
4835
290
3077
2848
987
1147
5420
3941
2299
1645
4908
2129
5222
3784
3344
1617
4398
3290
1759
2696
4356
3409
5033
1518
3000
5421
3824
3559
4401
4683
2349
988
5357
2226
3752
4055
1124
2286
2233
